seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.0474534 | Vali Loss: 0.0394342 | Test Loss: 0.0727392 | Mae Loss: 0.1506099 | SMAPE: 15.5757952 | MASE: 2.1278887
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.0356944 | Vali Loss: 0.0426310 | Test Loss: 0.0771758 | Mae Loss: 0.1617027 | SMAPE: 11.2404261 | MASE: 2.2660763
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.0327917 | Vali Loss: 0.0156687 | Test Loss: 0.0247434 | Mae Loss: 0.0941577 | SMAPE: 11.2709370 | MASE: 1.6041894
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.0305144 | Vali Loss: 0.0187793 | Test Loss: 0.0211309 | Mae Loss: 0.1048788 | SMAPE: 8.3470707 | MASE: 1.5415128
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.0287501 | Vali Loss: 0.0192073 | Test Loss: 0.0217351 | Mae Loss: 0.1015661 | SMAPE: 9.7740726 | MASE: 1.6544667
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.0269613 | Vali Loss: 0.0194353 | Test Loss: 0.0222276 | Mae Loss: 0.1048009 | SMAPE: 8.2237606 | MASE: 1.4642415
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.0256710 | Vali Loss: 0.0197501 | Test Loss: 0.0217260 | Mae Loss: 0.1077366 | SMAPE: 10.2687206 | MASE: 1.5925763
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0234935 | Vali Loss: 0.0196186 | Test Loss: 0.0221655 | Mae Loss: 0.1065717 | SMAPE: 8.6242218 | MASE: 1.4861743
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.0229443 | Vali Loss: 0.0193421 | Test Loss: 0.0224962 | Mae Loss: 0.1068776 | SMAPE: 7.1369591 | MASE: 1.4446687
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0224670 | Vali Loss: 0.0192923 | Test Loss: 0.0225109 | Mae Loss: 0.1055157 | SMAPE: 8.9931726 | MASE: 1.4468360
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.1040652 | Vali Loss: 0.0529831 | Test Loss: 0.2052374 | Mae Loss: 0.1708957 | SMAPE: 15.0298443 | MASE: 2.1502216
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.0758304 | Vali Loss: 0.0680285 | Test Loss: 0.2658596 | Mae Loss: 0.2193654 | SMAPE: 17.3434982 | MASE: 3.0379198
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.0762818 | Vali Loss: 0.0635887 | Test Loss: 0.2507335 | Mae Loss: 0.2129713 | SMAPE: 17.6801586 | MASE: 2.9266634
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.0790229 | Vali Loss: 0.0329343 | Test Loss: 0.2208803 | Mae Loss: 0.1532065 | SMAPE: 16.2611847 | MASE: 2.4264920
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.0558525 | Vali Loss: 0.0475037 | Test Loss: 0.1935326 | Mae Loss: 0.1669607 | SMAPE: 15.1356249 | MASE: 2.4424520
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.0651066 | Vali Loss: 0.0356484 | Test Loss: 0.1722435 | Mae Loss: 0.1569249 | SMAPE: 12.2907963 | MASE: 2.0886514
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.0596174 | Vali Loss: 0.0366462 | Test Loss: 0.1623237 | Mae Loss: 0.1429891 | SMAPE: 12.6152725 | MASE: 2.1791599
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.0586682 | Vali Loss: 0.0493182 | Test Loss: 0.1570072 | Mae Loss: 0.1668278 | SMAPE: 13.3214054 | MASE: 2.3826091
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.0607897 | Vali Loss: 0.0447317 | Test Loss: 0.1543944 | Mae Loss: 0.1586772 | SMAPE: 12.2289209 | MASE: 2.2518740
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.0550254 | Vali Loss: 0.0345853 | Test Loss: 0.1532500 | Mae Loss: 0.1456190 | SMAPE: 13.3622351 | MASE: 1.9645568
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 0.1982948 | Vali Loss: 0.0514452 | Test Loss: 0.3323949 | Mae Loss: 0.1861253 | SMAPE: 12.4988756 | MASE: 2.2520711
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.1225255 | Vali Loss: 0.0576858 | Test Loss: 0.3808352 | Mae Loss: 0.2024495 | SMAPE: 16.3053646 | MASE: 2.7105200
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 3 | Train Loss: 0.1170785 | Vali Loss: 0.0512529 | Test Loss: 0.4123409 | Mae Loss: 0.1785544 | SMAPE: 15.7547264 | MASE: 2.7755625
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 4 | Train Loss: 0.1126771 | Vali Loss: 0.0574900 | Test Loss: 0.3813058 | Mae Loss: 0.2009615 | SMAPE: 15.1575775 | MASE: 2.8518808
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 5 | Train Loss: 0.1161040 | Vali Loss: 0.0603706 | Test Loss: 0.3621144 | Mae Loss: 0.2065235 | SMAPE: 12.6539364 | MASE: 2.4061863
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 6 | Train Loss: 0.1107130 | Vali Loss: 0.0648957 | Test Loss: 0.3509236 | Mae Loss: 0.2162102 | SMAPE: 12.7866163 | MASE: 2.1584756
