seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.4412117 | Vali Loss: 0.1873820 | Test Loss: 0.5256951 | Mae Loss: 0.3654350 | SMAPE: 27.8093071 | MASE: 1.8412591
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.4297674 | Vali Loss: 0.1518959 | Test Loss: 0.4903297 | Mae Loss: 0.3421676 | SMAPE: 37.5843849 | MASE: 2.1273417
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.3439222 | Vali Loss: 0.0904930 | Test Loss: 0.2825639 | Mae Loss: 0.2269841 | SMAPE: 21.9725876 | MASE: 1.3814955
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.2577125 | Vali Loss: 0.0807611 | Test Loss: 0.2600987 | Mae Loss: 0.2075039 | SMAPE: 21.5983353 | MASE: 1.3946877
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.2430431 | Vali Loss: 0.0831030 | Test Loss: 0.2419540 | Mae Loss: 0.2145514 | SMAPE: 23.0037689 | MASE: 1.2429131
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.2442742 | Vali Loss: 0.0799653 | Test Loss: 0.2391070 | Mae Loss: 0.2062980 | SMAPE: 22.9851284 | MASE: 1.3525002
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.2475410 | Vali Loss: 0.0809862 | Test Loss: 0.2436422 | Mae Loss: 0.2085709 | SMAPE: 16.4648762 | MASE: 1.0124314
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.2464347 | Vali Loss: 0.0644226 | Test Loss: 0.2455905 | Mae Loss: 0.1894556 | SMAPE: 20.2579594 | MASE: 1.3543804
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.2398248 | Vali Loss: 0.0767377 | Test Loss: 0.2467327 | Mae Loss: 0.1989787 | SMAPE: 18.3618164 | MASE: 1.1761645
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.2463489 | Vali Loss: 0.0644612 | Test Loss: 0.2467737 | Mae Loss: 0.1894117 | SMAPE: 18.0331936 | MASE: 1.2051656
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.9906664 | Vali Loss: 0.3737534 | Test Loss: 0.9999252 | Mae Loss: 0.5533891 | SMAPE: 50.9967690 | MASE: 3.5645225
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.9175838 | Vali Loss: 0.2994541 | Test Loss: 1.0529281 | Mae Loss: 0.5080037 | SMAPE: 52.0769043 | MASE: 3.9706364
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.8180405 | Vali Loss: 0.3043219 | Test Loss: 0.7370989 | Mae Loss: 0.4940387 | SMAPE: 43.7581940 | MASE: 3.0735731
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.6081889 | Vali Loss: 0.1770314 | Test Loss: 0.4814865 | Mae Loss: 0.3586557 | SMAPE: 27.1146183 | MASE: 2.1938636
