seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.2769749 | Vali Loss: 0.2290326 | Test Loss: 0.1555609 | Mae Loss: 0.4130258 | SMAPE: 102.2871246 | MASE: 1.7246193
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.3109224 | Vali Loss: 0.3847657 | Test Loss: 0.2305993 | Mae Loss: 0.5527625 | SMAPE: 105.5405731 | MASE: 2.6148758
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.2756744 | Vali Loss: 0.4431903 | Test Loss: 0.2556648 | Mae Loss: 0.5999998 | SMAPE: 105.7698746 | MASE: 2.9156070
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.2557392 | Vali Loss: 0.4142408 | Test Loss: 0.2469393 | Mae Loss: 0.5730010 | SMAPE: 142.9830475 | MASE: 4.0411754
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.2380771 | Vali Loss: 0.3402247 | Test Loss: 0.1982490 | Mae Loss: 0.5261075 | SMAPE: 99.5756607 | MASE: 2.4337046
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.2254309 | Vali Loss: 0.2368448 | Test Loss: 0.1609615 | Mae Loss: 0.4292454 | SMAPE: 76.2685165 | MASE: 2.4096537
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.1817591 | Vali Loss: 0.2144901 | Test Loss: 0.1432703 | Mae Loss: 0.4034790 | SMAPE: 104.5670242 | MASE: 2.1308477
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.1780797 | Vali Loss: 0.2145492 | Test Loss: 0.1353391 | Mae Loss: 0.3972268 | SMAPE: 87.2934723 | MASE: 2.1784556
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.1615882 | Vali Loss: 0.1988886 | Test Loss: 0.1316131 | Mae Loss: 0.3804247 | SMAPE: 121.8681717 | MASE: 2.4593701
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.1662040 | Vali Loss: 0.2036458 | Test Loss: 0.1299345 | Mae Loss: 0.3848560 | SMAPE: 69.5102692 | MASE: 1.8841374
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.5808639 | Vali Loss: 0.7550341 | Test Loss: 0.2618416 | Mae Loss: 0.7831081 | SMAPE: 147.7675934 | MASE: 4.8522158
