seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.3841305 | Vali Loss: 0.3444517 | Test Loss: 0.3789036 | Mae Loss: 0.4929559 | SMAPE: 26.0520897 | MASE: 2.6977472
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.3527490 | Vali Loss: 0.1765302 | Test Loss: 0.3338122 | Mae Loss: 0.3396643 | SMAPE: 27.7397385 | MASE: 1.7291437
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.2948900 | Vali Loss: 0.2004691 | Test Loss: 0.2259364 | Mae Loss: 0.3817753 | SMAPE: 20.1325035 | MASE: 2.0628316
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.2636245 | Vali Loss: 0.1922058 | Test Loss: 0.2144183 | Mae Loss: 0.3724981 | SMAPE: 25.9823532 | MASE: 1.9948249
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.2659153 | Vali Loss: 0.2233324 | Test Loss: 0.2019348 | Mae Loss: 0.4093812 | SMAPE: 26.9838753 | MASE: 2.0669010
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.2499865 | Vali Loss: 0.2389663 | Test Loss: 0.2037585 | Mae Loss: 0.4263404 | SMAPE: 26.5218620 | MASE: 2.0529053
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.2412713 | Vali Loss: 0.2187141 | Test Loss: 0.2052528 | Mae Loss: 0.4004196 | SMAPE: 21.1215305 | MASE: 2.0842404
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.2426462 | Vali Loss: 0.2320949 | Test Loss: 0.2045011 | Mae Loss: 0.4169329 | SMAPE: 25.6191425 | MASE: 2.6968894
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.2288729 | Vali Loss: 0.2138112 | Test Loss: 0.2032557 | Mae Loss: 0.3948697 | SMAPE: 26.6893387 | MASE: 2.1253769
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.2397323 | Vali Loss: 0.2167966 | Test Loss: 0.2031191 | Mae Loss: 0.4044535 | SMAPE: 22.1407852 | MASE: 2.0104241
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.6032206 | Vali Loss: 1.1704903 | Test Loss: 0.4830701 | Mae Loss: 0.9428713 | SMAPE: 64.9113922 | MASE: 5.1221642
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.5508306 | Vali Loss: 1.0466709 | Test Loss: 0.5623253 | Mae Loss: 0.8850881 | SMAPE: 66.9922791 | MASE: 5.3687224
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.5084219 | Vali Loss: 0.9793994 | Test Loss: 0.4728178 | Mae Loss: 0.8435720 | SMAPE: 56.0360718 | MASE: 5.1889067
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.4413457 | Vali Loss: 0.5854208 | Test Loss: 0.3598672 | Mae Loss: 0.6382191 | SMAPE: 38.9691658 | MASE: 3.3624921
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.3876014 | Vali Loss: 0.7039379 | Test Loss: 0.2952016 | Mae Loss: 0.7599568 | SMAPE: 37.1177444 | MASE: 3.4410770
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.3554395 | Vali Loss: 0.4769163 | Test Loss: 0.2758059 | Mae Loss: 0.5743647 | SMAPE: 41.9317856 | MASE: 3.5167065
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.3582790 | Vali Loss: 0.4536894 | Test Loss: 0.2634038 | Mae Loss: 0.5728616 | SMAPE: 26.8888893 | MASE: 3.0233965
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.3416934 | Vali Loss: 0.4302462 | Test Loss: 0.2593139 | Mae Loss: 0.5409476 | SMAPE: 49.2714958 | MASE: 4.4213877
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.3240135 | Vali Loss: 0.4714690 | Test Loss: 0.2560646 | Mae Loss: 0.5943840 | SMAPE: 43.7627563 | MASE: 3.1405306
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.3254859 | Vali Loss: 0.4392438 | Test Loss: 0.2545355 | Mae Loss: 0.5677508 | SMAPE: 33.6957932 | MASE: 2.7594266
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 0.7783092 | Vali Loss: 1.7079818 | Test Loss: 0.7175632 | Mae Loss: 1.1411737 | SMAPE: 56.5352974 | MASE: 5.5483050
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.5886634 | Vali Loss: 1.8605453 | Test Loss: 0.6369663 | Mae Loss: 1.2153721 | SMAPE: 83.0275574 | MASE: 8.0361519
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 3 | Train Loss: 0.5646507 | Vali Loss: 1.3322892 | Test Loss: 0.5666078 | Mae Loss: 0.9911805 | SMAPE: 58.2389526 | MASE: 5.7722311
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 4 | Train Loss: 0.4859788 | Vali Loss: 1.2165208 | Test Loss: 0.4275317 | Mae Loss: 0.9431722 | SMAPE: 61.5983238 | MASE: 5.4429927
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 5 | Train Loss: 0.4542575 | Vali Loss: 1.4962763 | Test Loss: 0.3885635 | Mae Loss: 1.0757936 | SMAPE: 41.7670097 | MASE: 3.9136708
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 6 | Train Loss: 0.4263860 | Vali Loss: 1.3695166 | Test Loss: 0.3789866 | Mae Loss: 1.0208317 | SMAPE: 47.8686142 | MASE: 4.3722634
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 7 | Train Loss: 0.4231358 | Vali Loss: 1.0317754 | Test Loss: 0.3884471 | Mae Loss: 0.8481278 | SMAPE: 47.0520897 | MASE: 4.5741773
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 8 | Train Loss: 0.4369543 | Vali Loss: 1.1001955 | Test Loss: 0.3861501 | Mae Loss: 0.9228938 | SMAPE: 55.1121521 | MASE: 4.7522197
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 9 | Train Loss: 0.4185548 | Vali Loss: 1.0908247 | Test Loss: 0.3812908 | Mae Loss: 0.8874109 | SMAPE: 45.5222740 | MASE: 4.9454975
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 10 | Train Loss: 0.4195556 | Vali Loss: 0.9354284 | Test Loss: 0.3793093 | Mae Loss: 0.8015102 | SMAPE: 57.4451370 | MASE: 5.2785697
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 1 | Train Loss: 0.7011578 | Vali Loss: 2.3419256 | Test Loss: 0.6316550 | Mae Loss: 1.4058750 | SMAPE: 75.9543457 | MASE: 7.3605094
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 2 | Train Loss: 0.6133340 | Vali Loss: 1.9938498 | Test Loss: 0.6255244 | Mae Loss: 1.2669270 | SMAPE: 67.2325363 | MASE: 6.6825900
