seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.0489812 | Vali Loss: 0.0212474 | Test Loss: 0.0655068 | Mae Loss: 0.1277302 | SMAPE: 5.7381592 | MASE: 2.9296272
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.0419287 | Vali Loss: 0.0096193 | Test Loss: 0.0426282 | Mae Loss: 0.0845609 | SMAPE: 3.7882214 | MASE: 1.4564228
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.0296550 | Vali Loss: 0.0103189 | Test Loss: 0.0335396 | Mae Loss: 0.0817615 | SMAPE: 2.8958402 | MASE: 1.2947460
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.0293445 | Vali Loss: 0.0072757 | Test Loss: 0.0279899 | Mae Loss: 0.0701882 | SMAPE: 4.8726516 | MASE: 2.0291812
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.0219661 | Vali Loss: 0.0105725 | Test Loss: 0.0297553 | Mae Loss: 0.0830997 | SMAPE: 3.5023034 | MASE: 1.4441712
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.0237850 | Vali Loss: 0.0093834 | Test Loss: 0.0287364 | Mae Loss: 0.0768416 | SMAPE: 3.4030542 | MASE: 1.3493545
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.0207728 | Vali Loss: 0.0086242 | Test Loss: 0.0275055 | Mae Loss: 0.0742379 | SMAPE: 4.6093621 | MASE: 1.7924467
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0229823 | Vali Loss: 0.0085630 | Test Loss: 0.0272469 | Mae Loss: 0.0741713 | SMAPE: 5.5382857 | MASE: 1.9816747
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.0212237 | Vali Loss: 0.0080320 | Test Loss: 0.0267122 | Mae Loss: 0.0721500 | SMAPE: 4.5159550 | MASE: 2.3302064
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0183835 | Vali Loss: 0.0082341 | Test Loss: 0.0266672 | Mae Loss: 0.0728379 | SMAPE: 2.8960130 | MASE: 1.0976982
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.1100076 | Vali Loss: 0.0570328 | Test Loss: 0.0722803 | Mae Loss: 0.2214050 | SMAPE: 10.3248940 | MASE: 3.8247249
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.0761474 | Vali Loss: 0.0344249 | Test Loss: 0.0613693 | Mae Loss: 0.1698837 | SMAPE: 8.7873840 | MASE: 3.5670803
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.0649421 | Vali Loss: 0.0527712 | Test Loss: 0.0639956 | Mae Loss: 0.2113416 | SMAPE: 10.0766134 | MASE: 3.7300673
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.0711174 | Vali Loss: 0.0375378 | Test Loss: 0.0573998 | Mae Loss: 0.1753077 | SMAPE: 7.5899391 | MASE: 3.1061826
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.0630891 | Vali Loss: 0.0360198 | Test Loss: 0.0555739 | Mae Loss: 0.1744169 | SMAPE: 7.5311236 | MASE: 3.0203218
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.0604916 | Vali Loss: 0.0324088 | Test Loss: 0.0520254 | Mae Loss: 0.1616912 | SMAPE: 8.8687582 | MASE: 3.5195601
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.0593919 | Vali Loss: 0.0245907 | Test Loss: 0.0501729 | Mae Loss: 0.1366585 | SMAPE: 7.4142084 | MASE: 2.9180696
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.0565279 | Vali Loss: 0.0280573 | Test Loss: 0.0495602 | Mae Loss: 0.1524234 | SMAPE: 8.8011103 | MASE: 3.4061263
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.0593217 | Vali Loss: 0.0265614 | Test Loss: 0.0491919 | Mae Loss: 0.1470500 | SMAPE: 6.2804713 | MASE: 2.4011388
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.0543922 | Vali Loss: 0.0287098 | Test Loss: 0.0490869 | Mae Loss: 0.1520528 | SMAPE: 6.7061186 | MASE: 2.6849775
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 0.1326044 | Vali Loss: 0.0560159 | Test Loss: 0.0782008 | Mae Loss: 0.2103976 | SMAPE: 9.2502270 | MASE: 3.9031892
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.1039572 | Vali Loss: 0.0655400 | Test Loss: 0.0769853 | Mae Loss: 0.2375798 | SMAPE: 13.2298632 | MASE: 5.2476749
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 3 | Train Loss: 0.0956244 | Vali Loss: 0.0959953 | Test Loss: 0.0801075 | Mae Loss: 0.2878220 | SMAPE: 14.6396894 | MASE: 5.9319773
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 4 | Train Loss: 0.0802790 | Vali Loss: 0.0708564 | Test Loss: 0.0728260 | Mae Loss: 0.2471899 | SMAPE: 11.1152363 | MASE: 4.3284154
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 5 | Train Loss: 0.0841142 | Vali Loss: 0.0826536 | Test Loss: 0.0733432 | Mae Loss: 0.2682911 | SMAPE: 11.9370356 | MASE: 4.7231188
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 6 | Train Loss: 0.0859733 | Vali Loss: 0.0839771 | Test Loss: 0.0744261 | Mae Loss: 0.2716915 | SMAPE: 12.2455339 | MASE: 5.1361628
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 7 | Train Loss: 0.0882314 | Vali Loss: 0.0775614 | Test Loss: 0.0742903 | Mae Loss: 0.2590122 | SMAPE: 11.6291370 | MASE: 4.5034137
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 8 | Train Loss: 0.0896666 | Vali Loss: 0.0849642 | Test Loss: 0.0742163 | Mae Loss: 0.2751020 | SMAPE: 12.4654312 | MASE: 4.7921948
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 9 | Train Loss: 0.0852352 | Vali Loss: 0.0859669 | Test Loss: 0.0739737 | Mae Loss: 0.2758420 | SMAPE: 12.6957150 | MASE: 4.9605622
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 10 | Train Loss: 0.0775981 | Vali Loss: 0.0688537 | Test Loss: 0.0740502 | Mae Loss: 0.2450595 | SMAPE: 13.0915298 | MASE: 5.0370669
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 1 | Train Loss: 0.1543247 | Vali Loss: 0.1548638 | Test Loss: 0.1022526 | Mae Loss: 0.3709165 | SMAPE: 16.6212254 | MASE: 6.3794465
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 2 | Train Loss: 0.1050067 | Vali Loss: 0.1425861 | Test Loss: 0.1067313 | Mae Loss: 0.3506114 | SMAPE: 18.3763676 | MASE: 7.1458716
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 3 | Train Loss: 0.1087117 | Vali Loss: 0.1005582 | Test Loss: 0.0919522 | Mae Loss: 0.2979604 | SMAPE: 16.1075821 | MASE: 6.3100362
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 4 | Train Loss: 0.0987713 | Vali Loss: 0.1385764 | Test Loss: 0.0927118 | Mae Loss: 0.3513103 | SMAPE: 16.8358154 | MASE: 6.5226579
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 5 | Train Loss: 0.1026434 | Vali Loss: 0.1297715 | Test Loss: 0.0930529 | Mae Loss: 0.3358918 | SMAPE: 15.7670469 | MASE: 6.0000410
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 6 | Train Loss: 0.0925011 | Vali Loss: 0.1127832 | Test Loss: 0.0918804 | Mae Loss: 0.3130438 | SMAPE: 17.0777893 | MASE: 6.5242743
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 7 | Train Loss: 0.0922664 | Vali Loss: 0.1344123 | Test Loss: 0.0917207 | Mae Loss: 0.3460119 | SMAPE: 16.8571434 | MASE: 6.4371457
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 8 | Train Loss: 0.0946265 | Vali Loss: 0.1164004 | Test Loss: 0.0919829 | Mae Loss: 0.3200146 | SMAPE: 16.2954292 | MASE: 6.1814547
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 9 | Train Loss: 0.1013005 | Vali Loss: 0.1193946 | Test Loss: 0.0924063 | Mae Loss: 0.3241348 | SMAPE: 16.2029190 | MASE: 6.2658930
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 10 | Train Loss: 0.0964196 | Vali Loss: 0.1295929 | Test Loss: 0.0924628 | Mae Loss: 0.3413429 | SMAPE: 16.3600273 | MASE: 6.3216124
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 1 | Train Loss: 0.2227509 | Vali Loss: 0.1629559 | Test Loss: 0.0934886 | Mae Loss: 0.3704202 | SMAPE: 17.4976444 | MASE: 6.5945711
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 2 | Train Loss: 0.1265967 | Vali Loss: 0.1673602 | Test Loss: 0.1069555 | Mae Loss: 0.3838853 | SMAPE: 18.2329178 | MASE: 6.9719825
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 3 | Train Loss: 0.1317837 | Vali Loss: 0.1347438 | Test Loss: 0.0820940 | Mae Loss: 0.3354297 | SMAPE: 16.3240204 | MASE: 6.3175001
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 4 | Train Loss: 0.1203974 | Vali Loss: 0.1407601 | Test Loss: 0.0940580 | Mae Loss: 0.3523872 | SMAPE: 18.9745922 | MASE: 6.9999480
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 5 | Train Loss: 0.1243083 | Vali Loss: 0.1406287 | Test Loss: 0.0848725 | Mae Loss: 0.3465188 | SMAPE: 16.0393276 | MASE: 6.1505198
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 6 | Train Loss: 0.1186214 | Vali Loss: 0.1143892 | Test Loss: 0.0827137 | Mae Loss: 0.3058197 | SMAPE: 16.8932533 | MASE: 6.5746174
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 7 | Train Loss: 0.1135387 | Vali Loss: 0.1223100 | Test Loss: 0.0828569 | Mae Loss: 0.3206047 | SMAPE: 15.8409815 | MASE: 6.0670977
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 8 | Train Loss: 0.1280413 | Vali Loss: 0.1474195 | Test Loss: 0.0839320 | Mae Loss: 0.3572196 | SMAPE: 15.7974033 | MASE: 6.2275853
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 9 | Train Loss: 0.1214392 | Vali Loss: 0.1202881 | Test Loss: 0.0845403 | Mae Loss: 0.3174233 | SMAPE: 16.3630848 | MASE: 6.3957787
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 10 | Train Loss: 0.1199458 | Vali Loss: 0.1374409 | Test Loss: 0.0850269 | Mae Loss: 0.3449771 | SMAPE: 15.4226913 | MASE: 5.9857736
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.0509805 | Vali Loss: 0.0332269 | Test Loss: 0.0542473 | Mae Loss: 0.1684640 | SMAPE: 8.1338196 | MASE: 3.5185943
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.0429280 | Vali Loss: 0.0097896 | Test Loss: 0.0448974 | Mae Loss: 0.0812368 | SMAPE: 5.8946109 | MASE: 2.0992424
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.0494345 | Vali Loss: 0.0203389 | Test Loss: 0.0521675 | Mae Loss: 0.1274350 | SMAPE: 6.6825891 | MASE: 2.7031693
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.0422576 | Vali Loss: 0.0181486 | Test Loss: 0.0452252 | Mae Loss: 0.1195346 | SMAPE: 5.4273462 | MASE: 2.3787029
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.0445413 | Vali Loss: 0.0165085 | Test Loss: 0.0443497 | Mae Loss: 0.1100222 | SMAPE: 5.2405977 | MASE: 2.1067429
