seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.4848004 | Vali Loss: 0.5063601 | Test Loss: 0.5769447 | Mae Loss: 0.6057291 | SMAPE: 96.8929672 | MASE: 3.2224214
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.4327538 | Vali Loss: 0.7207544 | Test Loss: 0.5858226 | Mae Loss: 0.7856140 | SMAPE: 86.1174316 | MASE: 5.0868826
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.3594936 | Vali Loss: 0.3345566 | Test Loss: 0.3378025 | Mae Loss: 0.5255546 | SMAPE: 68.0960388 | MASE: 2.7528780
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.2128966 | Vali Loss: 0.0851129 | Test Loss: 0.2819660 | Mae Loss: 0.2195978 | SMAPE: 58.1918945 | MASE: 2.1759624
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.2246987 | Vali Loss: 0.0913889 | Test Loss: 0.2335704 | Mae Loss: 0.2266894 | SMAPE: 36.7739868 | MASE: 1.4341062
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.2282630 | Vali Loss: 0.1143503 | Test Loss: 0.2356227 | Mae Loss: 0.2655781 | SMAPE: 69.5547485 | MASE: 1.7356558
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.2008683 | Vali Loss: 0.1263567 | Test Loss: 0.2421064 | Mae Loss: 0.2862198 | SMAPE: 59.8606949 | MASE: 2.0421331
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.2047391 | Vali Loss: 0.1228489 | Test Loss: 0.2408291 | Mae Loss: 0.2785969 | SMAPE: 78.6057816 | MASE: 2.3320622
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.1704884 | Vali Loss: 0.1257563 | Test Loss: 0.2387513 | Mae Loss: 0.2861394 | SMAPE: 70.0438232 | MASE: 2.5843697
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.1739564 | Vali Loss: 0.1201427 | Test Loss: 0.2369539 | Mae Loss: 0.2747485 | SMAPE: 72.7565308 | MASE: 2.0212510
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 1.0344988 | Vali Loss: 2.0271893 | Test Loss: 1.2825065 | Mae Loss: 1.2981061 | SMAPE: 140.0917053 | MASE: 9.5660610
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.8271174 | Vali Loss: 2.3406265 | Test Loss: 1.2072045 | Mae Loss: 1.4220972 | SMAPE: 134.5921326 | MASE: 7.6975460
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.7934781 | Vali Loss: 2.5610418 | Test Loss: 1.2505537 | Mae Loss: 1.4909543 | SMAPE: 153.7275391 | MASE: 9.5178347
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.7624176 | Vali Loss: 2.8505149 | Test Loss: 1.2322132 | Mae Loss: 1.5918596 | SMAPE: 159.2302704 | MASE: 9.3186111
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.7532829 | Vali Loss: 2.4114180 | Test Loss: 1.2041230 | Mae Loss: 1.4386814 | SMAPE: 139.6537476 | MASE: 9.8625498
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.7167640 | Vali Loss: 2.5502787 | Test Loss: 1.1763758 | Mae Loss: 1.5068058 | SMAPE: 151.5657196 | MASE: 9.5076027
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.7150594 | Vali Loss: 1.9473842 | Test Loss: 1.1562627 | Mae Loss: 1.3011664 | SMAPE: 180.8650513 | MASE: 9.8255024
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.6642997 | Vali Loss: 2.1520247 | Test Loss: 1.1347364 | Mae Loss: 1.4109421 | SMAPE: 147.0400543 | MASE: 8.7702036
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.6398130 | Vali Loss: 2.1282351 | Test Loss: 1.1200627 | Mae Loss: 1.3667505 | SMAPE: 116.0062180 | MASE: 7.2753735
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.6100843 | Vali Loss: 2.2401111 | Test Loss: 1.1105090 | Mae Loss: 1.4164433 | SMAPE: 132.1499786 | MASE: 7.7845774
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 1.3047924 | Vali Loss: 3.0789318 | Test Loss: 1.5944887 | Mae Loss: 1.5674714 | SMAPE: 143.2178192 | MASE: 9.3316927
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 1.1567912 | Vali Loss: 2.8596425 | Test Loss: 1.4501936 | Mae Loss: 1.5414759 | SMAPE: 158.3926544 | MASE: 10.0465441
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 3 | Train Loss: 0.9950122 | Vali Loss: 1.9074622 | Test Loss: 1.2335102 | Mae Loss: 1.2437433 | SMAPE: 141.8171997 | MASE: 7.9249196
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 4 | Train Loss: 0.7099597 | Vali Loss: 1.6756684 | Test Loss: 1.1639973 | Mae Loss: 1.2110326 | SMAPE: 143.3883209 | MASE: 7.3586769
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 5 | Train Loss: 0.5882083 | Vali Loss: 1.9124069 | Test Loss: 1.1673723 | Mae Loss: 1.3125548 | SMAPE: 147.3594513 | MASE: 7.4837866
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 6 | Train Loss: 0.4968276 | Vali Loss: 1.8935810 | Test Loss: 1.1869548 | Mae Loss: 1.2918682 | SMAPE: 141.9937134 | MASE: 7.7287836
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 7 | Train Loss: 0.5210884 | Vali Loss: 1.6214945 | Test Loss: 1.1504180 | Mae Loss: 1.2011315 | SMAPE: 160.9642334 | MASE: 7.5227718
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 8 | Train Loss: 0.4994946 | Vali Loss: 1.5255003 | Test Loss: 1.1382297 | Mae Loss: 1.1613505 | SMAPE: 139.3339691 | MASE: 6.9060926
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 9 | Train Loss: 0.4982958 | Vali Loss: 1.5060509 | Test Loss: 1.1334834 | Mae Loss: 1.1488227 | SMAPE: 167.7897644 | MASE: 6.8229856
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 10 | Train Loss: 0.5073351 | Vali Loss: 1.5148096 | Test Loss: 1.1323965 | Mae Loss: 1.1597097 | SMAPE: 145.8336945 | MASE: 7.6332226
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 1 | Train Loss: 1.3745798 | Vali Loss: 2.1332235 | Test Loss: 2.0970398 | Mae Loss: 1.2676229 | SMAPE: 142.4014435 | MASE: 7.2493129
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 2 | Train Loss: 1.1733233 | Vali Loss: 2.1728401 | Test Loss: 2.8670544 | Mae Loss: 1.2638526 | SMAPE: 138.4824524 | MASE: 8.8644619
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 3 | Train Loss: 1.1018922 | Vali Loss: 2.8032980 | Test Loss: 2.6688772 | Mae Loss: 1.5212638 | SMAPE: 155.3883514 | MASE: 9.8780165
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 4 | Train Loss: 0.9122583 | Vali Loss: 1.9752374 | Test Loss: 1.9099210 | Mae Loss: 1.2699375 | SMAPE: 132.0498657 | MASE: 6.6930952
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 5 | Train Loss: 0.7490419 | Vali Loss: 1.4438877 | Test Loss: 1.5843397 | Mae Loss: 1.1317563 | SMAPE: 153.6078491 | MASE: 6.8295779
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 6 | Train Loss: 0.6412544 | Vali Loss: 1.4009417 | Test Loss: 1.4485283 | Mae Loss: 1.1257482 | SMAPE: 134.1216736 | MASE: 6.6443415
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 7 | Train Loss: 0.5793084 | Vali Loss: 1.3546069 | Test Loss: 1.3624845 | Mae Loss: 1.1029463 | SMAPE: 166.0225220 | MASE: 7.0561490
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 8 | Train Loss: 0.6070661 | Vali Loss: 1.1096876 | Test Loss: 1.3380222 | Mae Loss: 0.9674572 | SMAPE: 142.9763489 | MASE: 6.0863919
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 9 | Train Loss: 0.5768726 | Vali Loss: 1.2454900 | Test Loss: 1.3452847 | Mae Loss: 1.0504349 | SMAPE: 138.5659027 | MASE: 6.4833875
seq_len: 40 | label_len: 20 | pred_len: 8 | Epoch: 10 | Train Loss: 0.5387524 | Vali Loss: 1.1444255 | Test Loss: 1.3338794 | Mae Loss: 0.9882042 | SMAPE: 142.4045410 | MASE: 5.9915423
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 1 | Train Loss: 1.4787737 | Vali Loss: 2.3085406 | Test Loss: 4.0762097 | Mae Loss: 1.3697264 | SMAPE: 144.6161194 | MASE: 7.9604959
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 2 | Train Loss: 1.1466565 | Vali Loss: 1.7492434 | Test Loss: 3.6220739 | Mae Loss: 1.1299307 | SMAPE: 129.0875397 | MASE: 6.6629500
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 3 | Train Loss: 1.1142817 | Vali Loss: 1.8850241 | Test Loss: 3.1393659 | Mae Loss: 1.2182055 | SMAPE: 141.5189362 | MASE: 6.8719177
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 4 | Train Loss: 1.1722072 | Vali Loss: 1.7352021 | Test Loss: 3.4613298 | Mae Loss: 1.1542941 | SMAPE: 159.3494568 | MASE: 8.6850357
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 5 | Train Loss: 1.1283202 | Vali Loss: 1.8940187 | Test Loss: 3.5415795 | Mae Loss: 1.2059761 | SMAPE: 147.5767365 | MASE: 7.5338492
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 6 | Train Loss: 1.0750526 | Vali Loss: 1.6331760 | Test Loss: 3.5328416 | Mae Loss: 1.0837456 | SMAPE: 143.7665100 | MASE: 7.1366901
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 7 | Train Loss: 1.0924435 | Vali Loss: 1.6923857 | Test Loss: 3.4770555 | Mae Loss: 1.1161664 | SMAPE: 140.9815674 | MASE: 7.0273027
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 8 | Train Loss: 1.0820064 | Vali Loss: 2.0282705 | Test Loss: 3.4582324 | Mae Loss: 1.2612042 | SMAPE: 142.9839783 | MASE: 7.3338928
seq_len: 50 | label_len: 25 | pred_len: 10 | Epoch: 9 | Train Loss: 1.1220136 | Vali Loss: 1.5263033 | Test Loss: 3.4436843 | Mae Loss: 1.0253652 | SMAPE: 137.2395172 | MASE: 6.6650252
