seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.4648316 | Vali Loss: 0.5354465 | Test Loss: 0.3429549 | Mae Loss: 0.5448978 | SMAPE: 13.6855278 | MASE: 1.7210460
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.4654241 | Vali Loss: 0.6403934 | Test Loss: 0.3260746 | Mae Loss: 0.6142251 | SMAPE: 35.9370422 | MASE: 3.0655072
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.4586923 | Vali Loss: 0.6234441 | Test Loss: 0.3292593 | Mae Loss: 0.6148117 | SMAPE: 26.2955246 | MASE: 2.5350196
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.4117993 | Vali Loss: 0.4360684 | Test Loss: 0.3009417 | Mae Loss: 0.5087863 | SMAPE: 22.4003906 | MASE: 2.2943256
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.3421519 | Vali Loss: 0.2916049 | Test Loss: 0.2606704 | Mae Loss: 0.4194565 | SMAPE: 19.3979015 | MASE: 1.6677760
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.2754156 | Vali Loss: 0.1793701 | Test Loss: 0.2346928 | Mae Loss: 0.3161941 | SMAPE: 12.2176695 | MASE: 1.3070527
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.2114677 | Vali Loss: 0.1522184 | Test Loss: 0.2276244 | Mae Loss: 0.2840105 | SMAPE: 10.9377708 | MASE: 1.2963256
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.1947923 | Vali Loss: 0.1246428 | Test Loss: 0.2258557 | Mae Loss: 0.2528608 | SMAPE: 10.6292362 | MASE: 1.2327554
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.1836715 | Vali Loss: 0.1489692 | Test Loss: 0.2248716 | Mae Loss: 0.2748637 | SMAPE: 11.3976555 | MASE: 1.6164627
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.1679412 | Vali Loss: 0.1230817 | Test Loss: 0.2239122 | Mae Loss: 0.2533944 | SMAPE: 6.6996722 | MASE: 0.9305550
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.8151861 | Vali Loss: 0.8992729 | Test Loss: 0.7142836 | Mae Loss: 0.7162668 | SMAPE: 27.2991505 | MASE: 2.9080036
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.7190026 | Vali Loss: 0.9425980 | Test Loss: 0.6107182 | Mae Loss: 0.7780241 | SMAPE: 34.3973770 | MASE: 3.4809363
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.5184663 | Vali Loss: 0.2831438 | Test Loss: 0.2952623 | Mae Loss: 0.4312603 | SMAPE: 15.0750818 | MASE: 1.9203602
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.3441733 | Vali Loss: 0.4200737 | Test Loss: 0.2619295 | Mae Loss: 0.5325109 | SMAPE: 17.9221325 | MASE: 2.5172064
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.3108977 | Vali Loss: 0.2710195 | Test Loss: 0.2638547 | Mae Loss: 0.4359642 | SMAPE: 16.2299500 | MASE: 2.0782642
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.3004453 | Vali Loss: 0.2124489 | Test Loss: 0.2620329 | Mae Loss: 0.3802868 | SMAPE: 21.9982357 | MASE: 2.4155173
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.2849828 | Vali Loss: 0.2211133 | Test Loss: 0.2624715 | Mae Loss: 0.3895337 | SMAPE: 16.0660706 | MASE: 2.1094348
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.2566259 | Vali Loss: 0.1953838 | Test Loss: 0.2616656 | Mae Loss: 0.3876626 | SMAPE: 23.3372536 | MASE: 2.4649222
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.2795157 | Vali Loss: 0.2378434 | Test Loss: 0.2586764 | Mae Loss: 0.4129298 | SMAPE: 19.3005505 | MASE: 2.0066178
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.2524060 | Vali Loss: 0.2616091 | Test Loss: 0.2572490 | Mae Loss: 0.4396031 | SMAPE: 17.5246277 | MASE: 1.9849644
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 1.0945081 | Vali Loss: 1.9629735 | Test Loss: 0.5923374 | Mae Loss: 1.2676492 | SMAPE: 63.7977486 | MASE: 6.0594540
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.9842768 | Vali Loss: 1.2972758 | Test Loss: 0.5736922 | Mae Loss: 0.9385893 | SMAPE: 42.6839371 | MASE: 5.2667203
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 3 | Train Loss: 0.7135173 | Vali Loss: 1.1217408 | Test Loss: 0.4343086 | Mae Loss: 0.8900979 | SMAPE: 39.3313599 | MASE: 4.0245690
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 4 | Train Loss: 0.4331353 | Vali Loss: 0.9961116 | Test Loss: 0.3683535 | Mae Loss: 0.8635547 | SMAPE: 43.6575775 | MASE: 4.1841722
