seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.1724856 | Vali Loss: 0.0575949 | Test Loss: 0.1476816 | Mae Loss: 0.1953486 | SMAPE: 47.3118401 | MASE: 1.0890046
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.1371112 | Vali Loss: 0.1074656 | Test Loss: 0.1551066 | Mae Loss: 0.2450666 | SMAPE: 63.3679504 | MASE: 2.0328894
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.1267047 | Vali Loss: 0.1175882 | Test Loss: 0.1600196 | Mae Loss: 0.2599142 | SMAPE: 53.5418930 | MASE: 1.9318205
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.1182702 | Vali Loss: 0.0918940 | Test Loss: 0.1310980 | Mae Loss: 0.2271943 | SMAPE: 35.2532463 | MASE: 1.3307735
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.1106976 | Vali Loss: 0.0841222 | Test Loss: 0.1243297 | Mae Loss: 0.2145799 | SMAPE: 56.3177338 | MASE: 1.7930129
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.1025947 | Vali Loss: 0.0825402 | Test Loss: 0.1109916 | Mae Loss: 0.2181243 | SMAPE: 55.4110870 | MASE: 1.6759354
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.0983897 | Vali Loss: 0.0728423 | Test Loss: 0.0975341 | Mae Loss: 0.2061863 | SMAPE: 41.1806335 | MASE: 1.2865189
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.0858633 | Vali Loss: 0.0635205 | Test Loss: 0.0924005 | Mae Loss: 0.1923688 | SMAPE: 41.2415352 | MASE: 1.2821295
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.0760580 | Vali Loss: 0.0688907 | Test Loss: 0.0901867 | Mae Loss: 0.2042863 | SMAPE: 30.5566311 | MASE: 1.0007764
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.0892746 | Vali Loss: 0.0599195 | Test Loss: 0.0892504 | Mae Loss: 0.1878022 | SMAPE: 54.5412712 | MASE: 1.5643598
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.2855312 | Vali Loss: 0.1539664 | Test Loss: 0.1241785 | Mae Loss: 0.3269792 | SMAPE: 56.7457275 | MASE: 2.2177570
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.2209223 | Vali Loss: 0.2159594 | Test Loss: 0.1740057 | Mae Loss: 0.4177945 | SMAPE: 49.1802292 | MASE: 2.4608762
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.2142965 | Vali Loss: 0.1576763 | Test Loss: 0.1254797 | Mae Loss: 0.3424413 | SMAPE: 43.7269669 | MASE: 1.9368980
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.2078556 | Vali Loss: 0.1212773 | Test Loss: 0.1217849 | Mae Loss: 0.2875377 | SMAPE: 62.7340775 | MASE: 2.4335093
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.1935271 | Vali Loss: 0.1369716 | Test Loss: 0.1283113 | Mae Loss: 0.3141535 | SMAPE: 57.7484589 | MASE: 2.3071351
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.1987804 | Vali Loss: 0.1459309 | Test Loss: 0.1228867 | Mae Loss: 0.3259264 | SMAPE: 51.6561737 | MASE: 2.2911510
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.1993023 | Vali Loss: 0.1371187 | Test Loss: 0.1221145 | Mae Loss: 0.3081026 | SMAPE: 64.3844833 | MASE: 2.2746689
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.2003002 | Vali Loss: 0.1285053 | Test Loss: 0.1217272 | Mae Loss: 0.2977839 | SMAPE: 35.6623154 | MASE: 1.7013834
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.1957962 | Vali Loss: 0.1529212 | Test Loss: 0.1221366 | Mae Loss: 0.3224744 | SMAPE: 58.2047272 | MASE: 2.3011777
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.1938297 | Vali Loss: 0.1515158 | Test Loss: 0.1222846 | Mae Loss: 0.3240760 | SMAPE: 62.7586670 | MASE: 2.3519592
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 0.3336242 | Vali Loss: 0.2046921 | Test Loss: 0.1512844 | Mae Loss: 0.3898186 | SMAPE: 60.8749466 | MASE: 2.6726086
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.2963939 | Vali Loss: 0.2644111 | Test Loss: 0.1550163 | Mae Loss: 0.4776553 | SMAPE: 57.7679024 | MASE: 3.0819359
