seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.2583969 | Vali Loss: 0.3717564 | Test Loss: 0.2444829 | Mae Loss: 0.5000755 | SMAPE: 30.2731628 | MASE: 4.2586169
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.2430835 | Vali Loss: 0.3885060 | Test Loss: 0.2309709 | Mae Loss: 0.5228790 | SMAPE: 27.9249134 | MASE: 3.7812192
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.2128598 | Vali Loss: 0.3591216 | Test Loss: 0.1801203 | Mae Loss: 0.5059274 | SMAPE: 32.4045639 | MASE: 3.8410754
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.1628467 | Vali Loss: 0.1743992 | Test Loss: 0.1507112 | Mae Loss: 0.3577800 | SMAPE: 20.9234409 | MASE: 2.6164041
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.1251504 | Vali Loss: 0.1045409 | Test Loss: 0.1151014 | Mae Loss: 0.2574826 | SMAPE: 13.4268150 | MASE: 1.4789329
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.1243316 | Vali Loss: 0.0913880 | Test Loss: 0.1103172 | Mae Loss: 0.2397486 | SMAPE: 18.0573502 | MASE: 1.5000379
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.1211516 | Vali Loss: 0.0858917 | Test Loss: 0.1075556 | Mae Loss: 0.2312864 | SMAPE: 16.8731060 | MASE: 2.4671061
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.1056478 | Vali Loss: 0.0922557 | Test Loss: 0.1070510 | Mae Loss: 0.2412948 | SMAPE: 19.5297813 | MASE: 1.8964283
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.1196074 | Vali Loss: 0.0769107 | Test Loss: 0.1066503 | Mae Loss: 0.2221014 | SMAPE: 15.6955137 | MASE: 1.7364970
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.1028518 | Vali Loss: 0.0933210 | Test Loss: 0.1066910 | Mae Loss: 0.2426125 | SMAPE: 14.5529375 | MASE: 1.3883125
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.5387103 | Vali Loss: 0.9958253 | Test Loss: 0.2957552 | Mae Loss: 0.7572023 | SMAPE: 43.2547646 | MASE: 5.7388005
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.5930344 | Vali Loss: 0.5761469 | Test Loss: 0.3815931 | Mae Loss: 0.6364387 | SMAPE: 25.3374996 | MASE: 3.4505894
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.4673312 | Vali Loss: 0.5288461 | Test Loss: 0.1798942 | Mae Loss: 0.6015799 | SMAPE: 31.2756481 | MASE: 3.6016855
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.3264354 | Vali Loss: 0.5980332 | Test Loss: 0.1748784 | Mae Loss: 0.6856765 | SMAPE: 38.1503983 | MASE: 4.1088867
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.2497900 | Vali Loss: 0.2829437 | Test Loss: 0.1522473 | Mae Loss: 0.4663850 | SMAPE: 29.5511684 | MASE: 3.2236233
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.2611938 | Vali Loss: 0.3229655 | Test Loss: 0.1388589 | Mae Loss: 0.4871714 | SMAPE: 28.6383591 | MASE: 3.4035480
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.1972659 | Vali Loss: 0.2742945 | Test Loss: 0.1356028 | Mae Loss: 0.4363048 | SMAPE: 34.1405945 | MASE: 3.1410503
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.2194702 | Vali Loss: 0.3573593 | Test Loss: 0.1332921 | Mae Loss: 0.5268542 | SMAPE: 22.0810852 | MASE: 2.7712531
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.2209264 | Vali Loss: 0.2850362 | Test Loss: 0.1334037 | Mae Loss: 0.4692911 | SMAPE: 24.8242016 | MASE: 2.8374755
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.2115153 | Vali Loss: 0.2636479 | Test Loss: 0.1336743 | Mae Loss: 0.4457014 | SMAPE: 30.4289398 | MASE: 3.2608483
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 1 | Train Loss: 0.9777519 | Vali Loss: 0.8880126 | Test Loss: 0.3426731 | Mae Loss: 0.8061208 | SMAPE: 47.9120407 | MASE: 5.2656875
seq_len: 30 | label_len: 15 | pred_len: 6 | Epoch: 2 | Train Loss: 0.8896798 | Vali Loss: 0.7755740 | Test Loss: 0.3807087 | Mae Loss: 0.7650088 | SMAPE: 39.0660172 | MASE: 4.5474472
