seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 1 | Train Loss: 0.3379307 | Vali Loss: 0.1718935 | Test Loss: 0.5541425 | Mae Loss: 0.3634126 | SMAPE: 13.6066036 | MASE: 1.9735478
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 2 | Train Loss: 0.3095807 | Vali Loss: 0.1732117 | Test Loss: 0.5781183 | Mae Loss: 0.3551613 | SMAPE: 17.4062767 | MASE: 2.4555552
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 3 | Train Loss: 0.3247973 | Vali Loss: 0.2247496 | Test Loss: 0.6237870 | Mae Loss: 0.3968658 | SMAPE: 15.1723175 | MASE: 1.8958831
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 4 | Train Loss: 0.3356133 | Vali Loss: 0.2495068 | Test Loss: 0.6678649 | Mae Loss: 0.4132604 | SMAPE: 20.6648102 | MASE: 2.5408268
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 5 | Train Loss: 0.3370370 | Vali Loss: 0.2140922 | Test Loss: 0.5939542 | Mae Loss: 0.3913271 | SMAPE: 16.7216682 | MASE: 2.2006986
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 6 | Train Loss: 0.2778040 | Vali Loss: 0.2019898 | Test Loss: 0.5833836 | Mae Loss: 0.3844351 | SMAPE: 16.1625710 | MASE: 1.9852675
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 7 | Train Loss: 0.2727835 | Vali Loss: 0.2030094 | Test Loss: 0.5785165 | Mae Loss: 0.3867492 | SMAPE: 16.1156178 | MASE: 2.2102697
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 8 | Train Loss: 0.3104756 | Vali Loss: 0.1831583 | Test Loss: 0.5786061 | Mae Loss: 0.3632413 | SMAPE: 16.7840958 | MASE: 2.1994898
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 9 | Train Loss: 0.3265673 | Vali Loss: 0.2010893 | Test Loss: 0.5800255 | Mae Loss: 0.3807269 | SMAPE: 15.2500267 | MASE: 2.0269203
seq_len: 10 | label_len: 5 | pred_len: 2 | Epoch: 10 | Train Loss: 0.3275646 | Vali Loss: 0.1852127 | Test Loss: 0.5804337 | Mae Loss: 0.3641699 | SMAPE: 15.2290478 | MASE: 2.0325220
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 1 | Train Loss: 0.5064503 | Vali Loss: 0.2884219 | Test Loss: 1.0667880 | Mae Loss: 0.4555771 | SMAPE: 22.2909260 | MASE: 2.7917261
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 2 | Train Loss: 0.4175814 | Vali Loss: 0.6043597 | Test Loss: 1.0797896 | Mae Loss: 0.6784143 | SMAPE: 37.6860847 | MASE: 4.5492234
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 3 | Train Loss: 0.4284246 | Vali Loss: 0.6984310 | Test Loss: 1.1030126 | Mae Loss: 0.7511166 | SMAPE: 36.8755989 | MASE: 4.3994403
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 4 | Train Loss: 0.4216340 | Vali Loss: 0.4238971 | Test Loss: 1.0375170 | Mae Loss: 0.5262808 | SMAPE: 25.2912998 | MASE: 2.9707739
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 5 | Train Loss: 0.3986892 | Vali Loss: 0.6198710 | Test Loss: 1.0223578 | Mae Loss: 0.7181251 | SMAPE: 28.6423035 | MASE: 3.3367598
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 6 | Train Loss: 0.3860235 | Vali Loss: 0.4603930 | Test Loss: 1.0008023 | Mae Loss: 0.5628191 | SMAPE: 28.4731331 | MASE: 3.4190247
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 7 | Train Loss: 0.3926038 | Vali Loss: 0.4623192 | Test Loss: 0.9854165 | Mae Loss: 0.5953407 | SMAPE: 22.1039658 | MASE: 2.7187290
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 8 | Train Loss: 0.3606281 | Vali Loss: 0.3047267 | Test Loss: 0.9758253 | Mae Loss: 0.4450467 | SMAPE: 36.0241623 | MASE: 4.3323755
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 9 | Train Loss: 0.3691688 | Vali Loss: 0.4971706 | Test Loss: 0.9685050 | Mae Loss: 0.6063713 | SMAPE: 33.9242325 | MASE: 4.1375237
seq_len: 20 | label_len: 10 | pred_len: 4 | Epoch: 10 | Train Loss: 0.3802888 | Vali Loss: 0.4397464 | Test Loss: 0.9666183 | Mae Loss: 0.5518271 | SMAPE: 24.7379398 | MASE: 2.9622176
