Epoch,Input,Prediction,GroundTruth
1,"[[132.1999969482422], [132.08999633789062], [130.22000122070312], [130.49000549316406], [130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562]]","[[137.13723754882812], [138.47767639160156], [137.0647735595703], [139.27468872070312], [137.71688842773438], [138.29653930664062]]","[[134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672]]"
1,"[[127.76000213623047], [130.52999877929688], [132.1999969482422], [132.08999633789062], [130.22000122070312], [130.49000549316406], [130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688]]","[[136.74795532226562], [137.9630126953125], [136.33670043945312], [138.69203186035156], [137.38351440429688], [137.79476928710938]]","[[133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672]]"
1,"[[132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562]]","[[139.80825805664062], [141.3365936279297], [139.65757751464844], [142.2406768798828], [140.43251037597656], [136.3856658935547]]","[[136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844], [142.5500030517578], [143.92999267578125], [144.24000549316406]]"
1,"[[133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844]]","[[137.3626708984375], [142.44705200195312], [140.83547973632812], [143.53656005859375], [137.3626708984375], [142.26547241210938]]","[[136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844], [142.5500030517578], [143.92999267578125], [144.24000549316406], [144.75], [144.1300048828125], [145.1999969482422]]"
1,"[[129.3699951171875], [128.72000122070312], [129.2899932861328], [129.0699920654297], [127.69999694824219], [128.02000427246094], [126.90999603271484], [127.76000213623047], [130.52999877929688], [132.1999969482422], [132.08999633789062], [130.22000122070312], [130.49000549316406], [130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875]]","[[134.89990234375], [136.37210083007812], [135.00074768066406], [137.29978942871094], [135.64608764648438], [136.04942321777344]]","[[132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438]]"
1,"[[132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422]]","[[140.8538360595703], [142.2728271484375], [140.04298400878906], [142.8584442138672], [141.46197509765625], [142.04759216308594]]","[[136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844], [142.5500030517578], [143.92999267578125], [144.24000549316406], [144.75], [144.1300048828125]]"
1,"[[128.72000122070312], [129.2899932861328], [129.0699920654297], [127.69999694824219], [128.02000427246094], [126.90999603271484], [127.76000213623047], [130.52999877929688], [132.1999969482422], [132.08999633789062], [130.22000122070312], [130.49000549316406], [130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672]]","[[135.12869262695312], [136.5301971435547], [135.1693115234375], [137.44422912597656], [135.8192901611328], [136.34739685058594]]","[[132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688]]"
1,"[[131.58999633789062], [129.3699951171875], [128.72000122070312], [129.2899932861328], [129.0699920654297], [127.69999694824219], [128.02000427246094], [126.90999603271484], [127.76000213623047], [130.52999877929688], [132.1999969482422], [132.08999633789062], [130.22000122070312], [130.49000549316406], [130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938]]","[[134.9637908935547], [136.15309143066406], [134.33990478515625], [136.87448120117188], [135.52920532226562], [136.03611755371094]]","[[132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094]]"
1,"[[132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0]]","[[138.9917449951172], [140.22381591796875], [138.4246063232422], [140.7909698486328], [139.4806671142578], [140.02825927734375]]","[[135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844], [142.5500030517578]]"
1,"[[129.0699920654297], [127.69999694824219], [128.02000427246094], [126.90999603271484], [127.76000213623047], [130.52999877929688], [132.1999969482422], [132.08999633789062], [130.22000122070312], [130.49000549316406], [130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594]]","[[132.5033416748047], [137.28932189941406], [135.37071228027344], [138.02723693847656], [136.6568145751953], [137.1417236328125]]","[[132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562]]"
1,"[[132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672]]","[[139.30078125], [140.79173278808594], [136.04966735839844], [141.6821746826172], [140.0255584716797], [140.5225372314453]]","[[134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844], [142.5500030517578], [143.92999267578125]]"
1,"[[130.80999755859375], [132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672]]","[[138.43994140625], [139.82264709472656], [138.36312866210938], [135.40567016601562], [139.0736846923828], [139.59219360351562]]","[[136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844]]"
2,"[[132.5800018310547], [132.02000427246094], [132.1999969482422], [132.38999938964844], [132.67999267578125], [133.02999877929688], [134.44000244140625], [134.02999877929688], [133.75999450683594], [133.05999755859375], [134.24000549316406], [134.22000122070312], [135.35000610351562], [135.72000122070312], [136.16000366210938], [135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0]]","[[138.73751831054688], [139.28509521484375], [138.5223846435547], [139.65667724609375], [139.4806671142578], [140.98654174804688]]","[[135.3699951171875], [134.9600067138672], [136.3300018310547], [136.75999450683594], [136.74000549316406], [136.77000427246094], [136.64999389648438], [138.02999877929688], [138.77999877929688], [138.35000610351562], [138.7100067138672], [138.61000061035156], [139.2100067138672], [140.2100067138672], [141.0], [141.7100067138672], [142.10000610351562], [142.49000549316406], [141.9499969482422], [142.13999938964844], [142.5500030517578]]"
